"Project name","AnswersAi"
"Date range","08/29/2024 12:00 AM - 08/31/2024 11:59 PM"


"Channel","PaidSearch"

"Metric","Users overview"
"","Unique users","13507"
"","Sessions with new users","14042"
"","Sessions with returning users","948"

"Metric","All users"
"","User id","No. of sessions","Country","Device"
"","ggzoej","13","India","Mobile"
"","15gp7zx","12","Turkey","Mobile"
"","1ujoc2s","9","Brazil","PC"
"","f7976o","9","Turkey","Mobile"
"","13larit","8","Australia","Mobile"
"","1v8i82c","7","Nigeria","PC"
"","898dlc","7","Bangladesh","PC"
"","s4z4r8","7","Austria","Mobile"
"","18ckups","7","Malaysia","Mobile"
"","1y4q80r","7","Vietnam","Mobile"
"","898dlc","7","Bangladesh","PC"
"","15ruw7u","7","Philippines","Mobile"
"","59hlsg","6","United Arab Emirates","Mobile"
"","zyi2cu","6","India","PC"
"","1avvcv6","6","Pakistan","PC"

"Metric","Insights","No. of sessions","% of sessions"
"","Rage clicks","204","1.36%"
"","Dead click","3153","21.03%"
"","Excessive scrolling","0","0%"
"","Quick back click","516","3.44%"

"Metric","Browsers","No. of sessions","% of sessions"
"","ChromeMobile","9093","60.66%"
"","Chrome","2489","16.60%"
"","MobileSafari","2185","14.58%"
"","Unknown","522","3.48%"
"","SamsungInternet","218","1.45%"
"","Opera","115","0.77%"
"","Safari","115","0.77%"
"","Edge","103","0.69%"
"","Firefox","90","0.60%"
"","MiuiBrowser","31","0.21%"
"","FirefoxMobile","17","0.11%"
"","UCBrowser","5","0.03%"
"","EdgeMobile","4","0.03%"
"","AmazonSilk","3","0.02%"

"Metric","Devices","No. of sessions","% of sessions"
"","Mobile","11810","78.78%"
"","PC","2732","18.22%"
"","Tablet","422","2.82%"
"","Other","27","0.18%"

"Metric","Popular pages","No. of sessions"
"","https://answersai.com/","14966"
"","https://answersai.com/question-bank","30"
"","https://answersai.com/faq","18"
"","https://answersai.com/institutions","11"

"Metric","Countries","No. of sessions","% of sessions"
"","India","6397","42.72%"
"","Philippines","1542","10.30%"
"","United States","1285","8.58%"
"","Indonesia","754","5.03%"
"","Pakistan","595","3.97%"
"","Bangladesh","333","2.22%"
"","Nepal","217","1.45%"
"","Canada","187","1.25%"
"","Malaysia","179","1.20%"
"","Brazil","177","1.18%"
"","Sri Lanka","163","1.09%"
"","Nigeria","156","1.04%"
"","South Africa","124","0.83%"
"","Vietnam","115","0.77%"
"","Mexico","114","0.76%"
"","Singapore","109","0.73%"
"","Australia","99","0.66%"
"","Egypt","91","0.61%"
"","United Arab Emirates","84","0.56%"
"","Saudi Arabia","78","0.52%"
"","United Kingdom","67","0.45%"
"","Thailand","65","0.43%"
"","Turkey","63","0.42%"
"","Colombia","62","0.41%"
"","Ethiopia","62","0.41%"
"","Netherlands","60","0.40%"
"","Argentina","58","0.39%"
"","Morocco","57","0.38%"
"","Ghana","57","0.38%"
"","Germany","54","0.36%"
"","Kenya","53","0.35%"
"","Spain","38","0.25%"
"","Cambodia","38","0.25%"
"","Uganda","38","0.25%"
"","Chile","38","0.25%"
"","Portugal","36","0.24%"
"","Belgium","32","0.21%"
"","Algeria","31","0.21%"
"","Poland","30","0.20%"
"","Somalia","29","0.19%"
"","Ecuador","28","0.19%"
"","Romania","28","0.19%"
"","Greece","28","0.19%"
"","Peru","27","0.18%"
"","Italy","26","0.17%"
"","Hong Kong SAR","26","0.17%"
"","Puerto Rico","25","0.17%"
"","Myanmar","24","0.16%"
"","France","24","0.16%"
"","Hungary","24","0.16%"
"","Albania","23","0.15%"
"","Trinidad and Tobago","23","0.15%"
"","Tanzania","23","0.15%"
"","Iran","23","0.15%"
"","Honduras","21","0.14%"
"","Israel","20","0.13%"
"","Norway","19","0.13%"
"","Sweden","19","0.13%"
"","Bulgaria","19","0.13%"
"","Korea","18","0.12%"
"","Zambia","18","0.12%"
"","Qatar","18","0.12%"
"","Iraq","18","0.12%"
"","New Zealand","18","0.12%"
"","Jamaica","18","0.12%"
"","Botswana","17","0.11%"
"","Denmark","17","0.11%"
"","Angola","16","0.11%"
"","Austria","16","0.11%"
"","Kuwait","16","0.11%"
"","Armenia","16","0.11%"
"","Mauritius","15","0.10%"
"","Ukraine","15","0.10%"
"","Mongolia","15","0.10%"
"","Tunisia","15","0.10%"
"","Oman","14","0.09%"
"","Zimbabwe","14","0.09%"
"","Dominican Republic","13","0.09%"
"","Croatia","13","0.09%"
"","Mozambique","13","0.09%"
"","Finland","13","0.09%"
"","Serbia","13","0.09%"
"","Namibia","12","0.08%"
"","Moldova","12","0.08%"
"","Czech Republic","12","0.08%"
"","Jordan","11","0.07%"
"","Uzbekistan","11","0.07%"
"","Bolivia","11","0.07%"
"","Malawi","11","0.07%"
"","Switzerland","11","0.07%"
"","Panama","10","0.07%"
"","Guatemala","10","0.07%"
"","Lithuania","10","0.07%"
"","Bahrain","10","0.07%"
"","Cyprus","9","0.06%"
"","Brunei","9","0.06%"
"","Lebanon","8","0.05%"
"","Azerbaijan","8","0.05%"
"","Costa Rica","8","0.05%"
"","Venezuela","8","0.05%"
"","El Salvador","8","0.05%"
"","Georgia","8","0.05%"
"","North Macedonia","8","0.05%"
"","Kazakhstan","8","0.05%"
"","Malta","7","0.05%"
"","Papua New Guinea","7","0.05%"
"","Grenada","7","0.05%"
"","Belize","6","0.04%"
"","Japan","6","0.04%"
"","Slovakia","6","0.04%"
"","Latvia","6","0.04%"
"","Rwanda","6","0.04%"
"","Ireland","6","0.04%"
"","Palestinian Authority","6","0.04%"
"","Iceland","6","0.04%"
"","Estonia","6","0.04%"
"","Laos","5","0.03%"
"","Paraguay","5","0.03%"
"","Maldives","5","0.03%"
"","Afghanistan","4","0.03%"
"","Bhutan","4","0.03%"
"","Congo (DRC)","4","0.03%"
"","Fiji","4","0.03%"
"","Nicaragua","4","0.03%"
"","Guam","3","0.02%"
"","Yemen","3","0.02%"
"","Madagascar","3","0.02%"
"","Uruguay","3","0.02%"
"","Côte d'Ivoire","3","0.02%"
"","Senegal","3","0.02%"
"","Libya","3","0.02%"
"","Syria","3","0.02%"
"","Liberia","3","0.02%"
"","Suriname","3","0.02%"
"","Sudan","3","0.02%"
"","Guyana","3","0.02%"
"","Lesotho","2","0.01%"
"","Bosnia and Herzegovina","2","0.01%"
"","South Sudan","2","0.01%"
"","Haiti","2","0.01%"
"","Slovenia","2","0.01%"
"","Eswatini","2","0.01%"
"","Belarus","2","0.01%"
"","Kyrgyzstan","2","0.01%"
"","Sierra Leone","2","0.01%"
"","Russia","2","0.01%"
"","Luxembourg","2","0.01%"
"","Guinea","1","< 0.01%"
"","Timor-Leste","1","< 0.01%"
"","Tonga","1","< 0.01%"
"","Cuba","1","< 0.01%"
"","Saint Vincent and the Grenadines","1","< 0.01%"
"","Saint Kitts and Nevis","1","< 0.01%"
"","Cayman Islands","1","< 0.01%"
"","Cameroon","1","< 0.01%"
"","Burundi","1","< 0.01%"
"","Faroe Islands","1","< 0.01%"
"","Macao SAR","1","< 0.01%"
"","Taiwan","1","< 0.01%"
"","Benin","1","< 0.01%"
"","Vanuatu","1","< 0.01%"
"","Gambia","1","< 0.01%"
"","Bahamas","1","< 0.01%"
"","Micronesia","1","< 0.01%"
"","Aruba","1","< 0.01%"
"","Gabon","1","< 0.01%"

"Metric","Operating systems","No. of sessions","% of sessions"
"","Android","9097","60.68%"
"","iOS","3134","20.91%"
"","Windows","2210","14.74%"
"","MacOS","367","2.45%"
"","Linux","112","0.75%"
"","ChromeOS","38","0.25%"
"","Unknown","27","0.18%"
"","Ubuntu","6","0.04%"

"Metric","Smart events","No. of sessions","% of sessions"
"","Submit form","2255","15.04%"
"","Contact us","9","0.06%"

"Metric","Referrer","No. of sessions"
"","www.google.com","9495"
"","syndicatedsearch.goog","1752"
"","youtube.com","967"
"","googleads.g.doubleclick.net","578"
"","www.google.co.in","75"
"","www.google.com.ph","38"
"","www.youtube.com","30"
"","www.google.com.pk","28"
"","answersai.com","23"
"","www.google.co.id","14"
"","www.google.com.br","12"
"","www.google.co.uk","10"

"Metric","Channel","No. of sessions"
"","PaidSearch","14990"

"Metric","Campaign","No. of sessions"

"Metric","Source","No. of sessions"
"","google","14990"

"Metric","JavaScript errors"
"","Sessions with JavaScript errors"
""," total JavaScript errors","589"
"","","No. of sessions","% of sessions"
"","script error.","197","33.45%"
"","unexpected token '<'","102","17.32%"
"","s is not a function","75","12.73%"
"","internal assertion failed: pending promise was never set","48","8.15%"
"","cannot read properties of null (reading 'removeitem')","21","3.57%"

"Metric","Performance overview"
"","Score","67.98397370043148"
"","LCP (Largest Contentful Paint)","9.948s"
"","FID (First Input Delay)","16ms"
"","CLS (Cumulative Layout Shift)","0.198s"

"Metric","URL performance"
"","URL","Score","LCP (Largest Contentful Paint)","FID (First Input Delay)","CLS (Cumulative Layout Shift)"
"","https://answersai.com/question-bank","95.5","2.006","23","0.076"
"","https://answersai.com/faq","83.33333333333333","5.112","7","0.116"
"","https://answersai.com/institutions","69","8.477","14","0.029"
"","https://answersai.com/","67.94029236154005","9.962","16","0.198"

"Metric","Funnels"
"","Funnel","Question Bank views"
"","Conversion rate","9.08%"
"","Sessions converted","81"
"","Median time to convert","2.5 m"
"","Step name","sessions reached this step","sessions didn't reach this step"
"","https://answersai.com/","892","14098"
"","https://answersai.com/question-bank","81","811"

"Metric","User intent","No. of sessions","% of sessions"
"","Medium Intention","7698","51.35%"
"","Low Intention","4834","32.25%"
"","High Intention","2459","16.40%"
